106,156,162,167,18,23,34,41,55,61,77,81,90,94
110,111,129,134,135,142,152,159,36,40,50,62,64,96
105,114,128,16,161,164,173,175,2,27,5,57,86,99
119,144,160,164,165,171,186,38,42,52,56,67,68,7
103,130,132,138,140,144,151,162,171,177,34,64,74,81
110,118,12,127,135,184,44,46,63,66,74,78,83,88
147,151,158,163,166,171,173,174,175,177,28,3,9,94
104,105,128,13,152,182,187,21,29,3,44,87,93,94
0,101,105,117,132,135,158,162,170,179,185,29,63,84
117,127,13,145,183,25,30,37,52,64,68,91,94,97
113,121,125,136,19,26,3,43,49,70,75,80,93,98
120,141,143,152,16,166,18,37,41,55,63,77,90,95
106,11,111,116,129,141,150,157,165,170,22,3,49,74
10,100,121,130,133,15,159,165,186,31,32,50,51,95
10,110,119,121,128,149,155,163,17,170,22,34,51,87
127,146,155,18,180,186,32,43,51,52,59,73,82,91
0,11,13,131,132,139,140,147,158,163,17,29,98,99
110,123,13,146,175,178,26,51,59,66,7,81,89,98
102,104,111,14,142,143,154,162,182,185,38,92,95,99
100,105,113,121,15,153,155,16,23,74,81,88,92,97
10,109,139,143,156,163,168,172,3,53,54,70,77,88
118,123,138,144,153,163,167,184,22,37,66,86,88,95
110,121,127,132,159,16,168,180,181,48,52,75,77,86
102,107,118,123,128,143,144,152,168,184,187,42,58,93
101,104,129,144,180,34,5,56,63,69,78,85,87,91
10,102,109,126,128,159,164,172,2,45,52,65,7,84
103,110,141,151,152,33,37,38,59,68,73,80,81,90
12,124,132,134,138,15,165,17,182,184,185,37,47,87
1,125,13,162,18,22,29,52,53,54,67,7,79,86
112,114,116,128,134,141,161,164,21,41,51,58,72,99
0,116,143,155,174,177,2,21,31,32,70,72,73,96
113,128,15,153,154,24,3,49,56,59,70,80,87,97
106,108,118,150,154,174,181,34,45,51,64,73,75,97
105,109,110,113,14,153,156,161,183,21,40,47,54,62
102,125,134,144,165,171,179,184,25,46,51,55,94,96
115,128,140,162,165,170,22,3,32,33,56,60,64,98
112,117,129,137,138,148,151,172,22,23,4,90,95,96
1,105,126,154,159,170,178,181,28,49,59,84,91,92
130,135,136,137,151,167,186,187,39,45,46,50,53,93
117,123,127,130,136,141,15,154,169,57,65,89,9,94
112,127,132,145,185,29,32,36,42,45,50,76,8,93
107,113,114,117,145,158,162,172,183,33,44,83,93,94
108,113,137,157,16,164,181,30,31,55,64,75,8,98
122,132,137,144,181,24,26,31,43,48,55,73,83,92
136,155,157,158,176,182,33,35,39,43,6,63,65,8
100,109,111,114,116,125,151,170,184,42,46,76,78,93
139,146,157,171,173,29,41,64,65,67,79,81,91,97
10,136,14,146,155,157,158,19,33,35,43,59,66,84
10,101,111,118,12,162,176,179,183,3,36,44,50,68
106,111,113,126,132,134,143,149,159,161,169,172,20,70
102,123,160,170,180,20,35,4,5,64,73,77,79,84
102,140,146,165,187,2,36,41,5,57,66,68,90,96
103,116,140,148,164,185,186,30,35,44,47,73,85,87
100,129,133,140,159,17,182,20,42,49,62,7,92,94
10,112,122,124,144,167,183,26,46,68,92,96,98,99
0,117,125,157,161,169,176,178,33,48,77,81,82,96
116,126,131,142,155,164,170,24,28,34,6,74,87,88
100,126,128,140,146,152,162,164,19,32,4,79,82,91
109,128,13,143,151,16,166,17,174,180,185,23,64,82
102,107,116,138,141,173,187,19,3,4,57,63,68,90
108,113,122,125,170,174,175,184,22,37,46,77,81,85
126,128,14,173,178,49,54,70,72,73,74,78,91,93
102,112,123,132,148,161,163,181,27,42,58,60,8,86
10,101,111,113,119,136,141,170,185,25,37,56,78,91
13,145,148,16,162,172,174,183,31,61,7,72,89,99
11,113,134,158,161,163,164,181,186,27,50,71,83,92
105,114,14,167,170,173,21,24,3,5,50,51,6,76
141,16,160,173,177,43,56,6,65,68,70,79,83,91
15,164,165,167,170,180,28,42,56,63,65,66,80,98
115,127,131,143,21,50,59,6,62,8,87,88,98,99
101,108,117,135,137,151,174,181,26,5,52,81,82,92
108,114,121,146,16,166,177,31,35,38,62,89,93,95
1,107,11,114,13,158,167,170,171,176,183,42,69,7
11,116,124,126,131,161,170,186,24,34,35,37,39,78
100,128,130,143,153,165,166,171,29,30,37,70,85,88
1,102,108,150,154,165,172,187,36,4,44,61,68,99
104,119,126,13,153,166,167,29,41,46,48,60,71,97
112,119,123,127,150,173,177,185,187,31,38,40,43,99
103,106,114,119,140,168,17,170,33,35,38,64,70,95
1,10,100,109,124,129,134,143,167,172,26,31,55,61
121,127,13,158,164,174,175,38,50,56,87,9,92,96
105,131,16,166,186,22,28,33,35,52,62,75,76,83
0,103,109,13,158,161,17,182,28,35,39,66,90,93
125,13,139,154,184,21,28,3,33,40,54,73,81,98
124,126,147,149,165,168,187,26,33,51,73,77,83,97
110,115,116,121,125,147,164,17,176,27,31,48,57,76
112,129,166,173,178,31,32,35,41,42,68,75,87,99
138,16,167,17,25,35,42,43,44,49,77,78,8,92
0,132,156,163,169,172,174,19,23,5,8,83,92,94
111,118,126,133,137,182,29,30,45,71,78,8,88,97
103,11,111,117,124,141,154,168,169,186,41,43,51,70
106,110,118,13,140,141,159,174,20,5,52,65,78,93
0,102,11,114,116,132,152,153,168,170,183,27,31,65
102,107,108,136,14,151,170,176,184,20,4,66,77,80
109,125,15,159,178,186,21,28,32,63,68,79,8,92
104,109,112,127,141,155,182,21,5,51,70,71,79,99
101,105,117,127,141,15,156,159,165,168,18,186,35,42
0,106,123,134,15,181,21,39,43,49,58,60,66,70
100,104,126,13,145,146,149,172,174,185,187,22,89,9
114,121,125,140,141,157,158,173,185,35,41,54,64,98
