10259,10277,10450,10511,10516,10869,10977,11017,11037,11095,11146,11316,11405,11445,11572,116,1474,1584,1604,1828,1866,2027,2034,2179,2353,2393,2493,25,2612,2625,2655,2751,283,2836,2940,3145,3451,3489,3552,3561,3610,364,3766,3824,3825,3859,3889,4197,4221,4334,4400,4401,4435,445,4638,4750,481,4845,501,5019,5039,5151,5210,531,5328,5361,548,567,5856,5893,590,590,5902,5955,5965,5999,614,6155,6242,6305,6340,6355,6370,6456,668,6681,6716,6866,7223,7235,736,7385,7404,7444,7524,7574,7722,7827,8153,8177,8185,8264,8304,8324,8333,8455,8486,8505,8653,870,8941,9012,9275,9318,9341,9375,9446,9518,9578,9651,9822
10085,10312,10409,10421,10570,10583,11068,11168,11235,113,11318,11398,11412,11422,11498,11593,11603,1238,1283,1319,1325,1366,1535,1619,1753,1929,2120,219,2297,2444,2464,2479,2548,2585,275,2761,2815,302,3027,3047,3186,3232,3301,3346,3377,3440,3610,3654,3661,375,3760,3775,3980,3999,4014,4079,4196,433,4344,4406,4432,4450,4487,4523,4566,4624,4642,4733,5069,5089,524,5384,5396,5518,557,5704,5721,5849,5923,5958,6028,62,635,6375,6421,6477,6509,6583,6656,6748,6960,7011,7195,7236,7334,74,7543,7733,8032,8049,8178,8236,8316,8388,8755,8865,9113,9142,9329,9424,9426,9503,9507,9605,9622,9638,9714,9932,9954,9966,9975
10035,10148,1022,10446,10446,10464,10469,10483,10489,10497,10801,10850,10903,10946,11183,11278,1162,131,1330,1387,1441,1742,1860,1989,2142,22,2213,2276,241,2461,2539,2574,2743,2751,2778,2815,3102,3123,3189,3212,3230,3285,3388,3455,3557,3770,3784,4229,4236,4458,4519,4568,4587,4706,4760,4799,4803,489,4894,4956,4971,5057,5101,5232,5253,5270,5329,5518,5526,5584,5635,5794,5799,581,5840,5866,5920,5924,5995,6154,619,6436,6642,6664,6770,6961,6994,7031,7241,7267,7398,7517,773,7741,7845,7963,8009,8228,8368,845,8457,8512,8578,8765,8830,9165,920,9286,9322,9324,9365,9366,9380,9384,939,9468,9734,9803,984,9861,9906
10001,10003,10021,10022,10127,10199,10415,10427,10611,10747,10873,1095,10979,10994,11015,1104,11205,11310,11352,11511,11564,11605,1357,142,145,1869,1896,2065,2200,2211,2745,2849,3030,3095,3241,3256,348,3511,3558,3649,3843,3880,4038,4071,4223,4273,4341,4364,4414,4455,4539,4714,4727,4796,4796,4868,4883,4895,5072,5128,5171,5317,5374,5402,5449,5645,5691,5922,6026,6034,6216,6254,6323,6631,6840,6849,6877,6894,711,7235,7241,7304,7354,7678,7759,7928,7979,8011,8142,8203,8238,8446,8531,8583,8674,8776,8894,9059,9060,9113,9239,9252,9301,9327,9415,9449,9535,9562,9663,9711,9771,980,982,9852,9951,996,9973,9975,9982,9986,9997
10325,10334,10384,10414,10422,10442,10492,10626,10693,10694,11054,11279,1128,11321,11346,11520,118,1278,1406,1497,1508,1638,166,1679,1765,178,1890,1907,195,2,2046,208,2105,2250,2313,243,2515,2637,2718,2766,2790,2895,3096,3114,3186,3203,3405,3432,3587,3598,3605,3691,3726,3827,3871,3878,391,3936,4164,4286,4301,436,4567,4725,4784,4848,4973,5124,5213,5382,5444,5466,5503,5513,5537,5651,5676,569,574,590,5966,6343,6451,650,6629,67,6805,6921,7042,7440,7598,7615,7640,7711,7750,7750,7790,7810,7820,8033,8071,8079,8163,8365,8490,8529,8616,8722,8797,8892,9127,9215,9332,9349,9393,9636,9730,9775,9802,9862,987
10377,10387,10391,10893,110,11043,11097,11119,11170,11212,11231,11460,11593,120,1212,1217,1237,1306,1445,1454,1598,161,1687,1727,1782,1895,1972,2114,2160,2183,2317,234,2352,2355,2403,2419,2445,2519,2540,2614,2650,2687,3029,3053,3062,3150,3182,325,3696,3703,3751,3821,3884,3960,409,4128,4790,4825,4925,4931,4953,5059,5134,5152,5230,5357,5412,5528,6051,6053,6054,6167,6186,6355,6404,6428,6695,6744,6842,6938,714,7293,7317,7403,7495,7545,7553,7598,761,7742,7952,797,8100,8207,8263,8279,8280,8311,835,8406,8426,8556,8612,8618,8911,896,9167,9266,9272,9482,9612,9613,9679,9696,9744,9800,9809,9918,9928,9945,9983
1000,10385,10427,10517,1056,10588,1061,10644,10699,10946,10989,1115,11189,11196,11234,11248,11268,11442,1235,1262,1477,150,1601,1894,1910,2052,2181,2707,2719,2729,2746,2852,2888,2909,2999,3041,3067,3076,3119,3215,3241,3292,3328,3672,3833,3845,4028,4033,4036,4065,4068,4223,4240,4333,4476,4523,4948,4992,5019,5108,524,5271,56,570,573,5837,5850,5940,6278,6357,642,6434,649,650,6503,6636,692,7045,7070,7136,7149,7196,7327,7393,7440,7510,7855,7894,8098,8107,8154,8164,8172,818,821,8381,8471,8525,8573,8579,8596,8707,8733,8827,8846,8923,9005,9187,9332,9386,94,9526,9605,9621,9637,9693,9750,9769,9880,9950,9980
10374,10382,10465,10491,1067,11084,11112,11178,11220,11301,11363,11412,11425,11446,11468,11580,11587,136,1383,1445,1454,1631,1892,1919,1967,215,2197,2251,2288,235,2408,2476,2883,3057,314,3171,3393,3476,3565,3624,3669,3702,3790,3900,4030,4168,4184,4188,4275,4340,4420,4561,4684,4728,4856,4909,4930,5111,5163,5172,524,5267,5299,5450,5513,5582,5593,5690,5701,5764,5868,5894,5987,603,6323,6380,6391,64,6453,6607,6618,6640,6705,6730,6830,6911,6928,6941,7015,7039,7101,7271,7272,7433,7466,749,7520,76,77,7838,8296,8391,8456,8602,8667,8680,871,8757,8856,8862,890,8931,8985,912,935,9507,9591,9602,9793,9842,9864
10028,10042,1014,10427,10458,10666,10700,10771,10786,10839,10867,10876,10966,10995,11126,11389,1140,11431,11622,117,1220,1333,1436,144,1505,1572,1665,1665,1965,204,2092,216,2224,2266,2296,2354,2371,2622,2681,2683,2699,272,2744,2746,2819,2926,3003,3122,3170,3325,3631,3644,3660,3702,3724,3773,389,3945,4134,4257,4305,448,4500,471,480,4907,4954,4954,4965,4995,5166,5200,522,5332,5351,5366,537,5379,5503,5638,5781,5823,5853,5931,6092,6127,6179,63,6563,6574,6788,6938,7156,7180,7187,7229,7276,7306,7371,7536,7798,7889,7908,7993,8010,8100,8167,823,8242,8317,8327,8473,8736,874,8763,8882,8991,9320,947,9617,9627
10049,10132,10168,10185,10254,10265,10329,10366,10386,10454,10512,10570,1074,11056,11092,11124,11163,11396,11486,11508,11526,11527,11601,11603,11624,11640,121,138,1405,1420,1531,1723,1861,1903,2359,239,2716,2775,2882,3114,3165,3194,3280,3353,3391,3458,3532,3626,3787,3831,3881,3896,3947,4028,4209,4228,4309,4426,4567,4628,466,4791,4844,4972,5014,5053,5056,5083,5194,5215,525,5329,5336,5442,5547,5623,5738,5786,5951,5998,6140,6167,6366,6579,6704,685,6874,697,7209,7245,7757,7852,7869,794,8010,8164,817,8194,8343,8369,8400,8478,8590,8672,8741,8747,8803,8862,8984,9030,9216,9263,9312,9391,9429,9625,974,9786,9842,9963,9990
